HITId	HITTypeId	Title	Description	Keywords	Reward	CreationTime	MaxAssignments	RequesterAnnotation	AssignmentDurationInSeconds	AutoApprovalDelayInSeconds	Expiration	NumberOfSimilarHITs	LifetimeInSeconds	AssignmentId	WorkerId	AssignmentStatus	AcceptTime	SubmitTime	AutoApprovalTime	ApprovalTime	RejectionTime	RequesterFeedback	WorkTimeInSeconds	LifetimeApprovalRate	Last30DaysApprovalRate	Last7DaysApprovalRate	Answer.age	Answer.befuddle0	Answer.befuddle1	Answer.befuddle2	Answer.befuddle3	Answer.befuddle4	Answer.befuddle5	Answer.befuddleD	Answer.besmirch0	Answer.besmirch1	Answer.besmirch2	Answer.besmirch3	Answer.besmirch4	Answer.besmirch5	Answer.besmirchD	Answer.bigT	Answer.carom0	Answer.carom1	Answer.carom2	Answer.carom3	Answer.carom4	Answer.carom5	Answer.caromD	Answer.country	Answer.debauch0	Answer.debauch1	Answer.debauch2	Answer.debauch3	Answer.debauch4	Answer.debauch5	Answer.debauchD	Answer.easyT	Answer.exfoliate0	Answer.exfoliate1	Answer.exfoliate2	Answer.exfoliate3	Answer.exfoliate4	Answer.exfoliate5	Answer.exfoliateD	Answer.gender	Answer.maleT	Answer.picket0	Answer.picket1	Answer.picket2	Answer.picket3	Answer.picket4	Answer.picket5	Answer.picketD	Answer.scotch0	Answer.scotch1	Answer.scotch2	Answer.scotch3	Answer.scotch4	Answer.scotch5	Answer.scotchD	Answer.shew0	Answer.shew1	Answer.shew2	Answer.shew3	Answer.shew4	Answer.shew5	Answer.shewD	Answer.slaver0	Answer.slaver1	Answer.slaver2	Answer.slaver3	Answer.slaver4	Answer.slaver5	Answer.slaverD	Answer.smallT	Answer.twiddle0	Answer.twiddle1	Answer.twiddle2	Answer.twiddle3	Answer.twiddle4	Answer.twiddle5	Answer.twiddleD	Approve	Reject
3Z8UJEJOCZDWBS93BPCVC5AN3IQ39U	30GFZMOUMP0SK192PH0L4JRLVD80FG	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.05	Wed Dec 10 14:48:20 GMT 2014	10	BatchId:1762236;	3600	259200	Thu Dec 11 08:41:32 GMT 2014			33CID57104TTYE85QPKN6YX13T6L3C	A4ELFVN8WOSSR	Submitted	Thu Dec 11 03:27:39 GMT 2014	Thu Dec 11 03:56:48 GMT 2014	Sat Dec 13 19:56:48 PST 2014				1749	0% (0/0)	0% (0/0)	0% (0/0)	31	spoil	dribble	salivate	confuse	drivel	foil		defame	sentinel	smear	denigrate	spoil	sully	denigrade	large	sully	glance	slander	bounce	demonstrate	bound	virtue	India	profane	slobber	salivate	debase	spoil	lookout man	foil	simple	go around	confound	fiddle with	chip off	chip	cast off	spoil	Male	man	go around	slobber	manipulate	twirl	lookout man	lookout		cast off	spoil	debase	chip off	break off	break away	end off	cast off	salivate	confuse	chip	demonstrate	dribble	prove	pervert	baffle	profane	reverberate	slabber	drivel	group	little	foil	spoil	swirl	shed	break off	queer	confuse		
3Z8UJEJOCZDWBS93BPCVC5AN3IQ39U	30GFZMOUMP0SK192PH0L4JRLVD80FG	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.05	Wed Dec 10 14:48:20 GMT 2014	10	BatchId:1762236;	3600	259200	Thu Dec 11 08:41:32 GMT 2014			3ATPCQ38J8ADIYEPIJONNED3IH5AYQ	ARR54IBZ7GCRW	Submitted	Wed Dec 10 18:35:02 GMT 2014	Wed Dec 10 18:47:19 GMT 2014	Sat Dec 13 10:47:19 PST 2014				737	0% (0/0)	0% (0/0)	0% (0/0)	44	subvert	corrupt	confound	baffle	discombobulate	intoxicate		defame	slander	smear	denigrate	smirch	sully	to make something appear unattractive or bad	large	affirm	glance	ricochet	bounce	reverberate	bound	to rebound	United States	slabber	demoralize	corrupt	debase	subvert	pervert	defame	simple	break away	break off	shed	chip off	chip	cast off	to remove from surface	Female	man	go around	sentry	sentinel	watch	lookout man	lookout		cast off	chip	baffle	chip off	break off	break away	to injure as in cutting	cast off	discombobulate	slabber	chip	break away	chip off	demonstrate	pervert	baffle	dribble	slobber	slabber	drivel	drip	little	twirl	manipulate	swirl	fiddle with	whirl	go around	to move in a pattern		
3Z8UJEJOCZDWBS93BPCVC5AN3IQ39U	30GFZMOUMP0SK192PH0L4JRLVD80FG	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.05	Wed Dec 10 14:48:20 GMT 2014	10	BatchId:1762236;	3600	259200	Thu Dec 11 08:41:32 GMT 2014			3EICBYG644WBGOGOGXJBJMO35GAJC0	A3LV5FJGIHFQ94	Submitted	Wed Dec 10 15:28:47 GMT 2014	Wed Dec 10 15:49:45 GMT 2014	Sat Dec 13 07:49:45 PST 2014				1258	0% (0/0)	0% (0/0)	0% (0/0)	29	spoil	corrupt	thwart	confuse	frustrate	foil		defame	slander	smear	foil	smirch		to destroy	large	recoil	glance	ricochet	bounce	reverberate	bound	to ricochet	United States	profane	demoralize	corrupt	debase	spoil	frustrate	to ruin	simple	break away	break off	shed	chip off	chip	cast off	to remove	Female	man	spotter	sentry	sentinel	watch	lookout man	lookout		cast off	chip	debase	chip off	break off	break away	to cut off	corroborate	affirm	support	establish	demonstrate		to illustrate	salivate	drool	dribble	slobber		drivel	to let out saliva	little	twirl	subvert	swirl	fiddle with	whirl		to turn		
3Z8UJEJOCZDWBS93BPCVC5AN3IQ39U	30GFZMOUMP0SK192PH0L4JRLVD80FG	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.05	Wed Dec 10 14:48:20 GMT 2014	10	BatchId:1762236;	3600	259200	Thu Dec 11 08:41:32 GMT 2014			3PIWWX1FJJ6YO2MUQP0X6Q1YVZFJJ8	A221FSWO28B4YF	Submitted	Wed Dec 10 14:49:20 GMT 2014	Wed Dec 10 14:57:18 GMT 2014	Sat Dec 13 06:57:18 PST 2014				478	0% (0/0)	0% (0/0)	0% (0/0)	31	subvert	corrupt	confound	confuse	discombobulate	debase		defame	slander	smear	cast off	smirch	break away	to hurt someone socially	large	affirm	support	corroborate	bounce	demonstrate	bound	to move	United States	slabber	foil	corrupt	drool	spoil	frustrate	take apart	simple	break away	break off	shed	chip off	chip	cast off	to take away dead skin	Female	man	go around	sentry	manipulate	watch	lookout man	debase		cast off	corrupt	shed	chip off	break off	break away	to get away	cast off	shed	confuse	establish	break away	chip off	show off	pervert	drool	dribble	slobber	slabber	drivel	to drip water from your mouth	little	twirl	manipulate	swirl	fiddle with	whirl	go around	to mess with lightly		
3Z8UJEJOCZDWBS93BPCVC5AN3IQ39U	30GFZMOUMP0SK192PH0L4JRLVD80FG	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.05	Wed Dec 10 14:48:20 GMT 2014	10	BatchId:1762236;	3600	259200	Thu Dec 11 08:41:32 GMT 2014			3Q5C1WP23M1JMMR5BYQX1GM7JIB51X	A3QJ0CEOOTNM7C	Submitted	Wed Dec 10 21:56:30 GMT 2014	Wed Dec 10 22:10:21 GMT 2014	Sat Dec 13 14:10:21 PST 2014				831	0% (0/0)	0% (0/0)	0% (0/0)	26	spoil	queer	confound	baffle	frustrate	intoxicate		defame	slander	break off	denigrate	spoil	sully	To talk badly about something or someone	large	affirm	support	ricochet	bounce	reverberate	bound	Pool game	United States	profane	demoralize	corrupt	thwart	spoil	pervert	To ruin something	simple	break away	manipulate	shed	chip off	chip	cast off	To clean	Female	man	go around	sentry	sentinel	watch	lookout man	lookout		cast off	chip	spotter	chip off	sentinel	break away	Alcohol	cast off	affirm	break off	establish	demonstrate	chip off	To show something	pervert	debase	recoil	slobber	slabber	drivel	a person owning slaves	little	twirl	manipulate	swirl	fiddle with	whirl	go around	To fiddle with something when bored		
3Z8UJEJOCZDWBS93BPCVC5AN3IQ39U	30GFZMOUMP0SK192PH0L4JRLVD80FG	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.05	Wed Dec 10 14:48:20 GMT 2014	10	BatchId:1762236;	3600	259200	Thu Dec 11 08:41:32 GMT 2014			3R5F3LQFV2K2PSIVOOVO2G6ADR2ZOS	AJQ6LQMUI0Y9M	Submitted	Wed Dec 10 14:53:14 GMT 2014	Wed Dec 10 15:00:28 GMT 2014	Sat Dec 13 07:00:28 PST 2014				434	0% (0/0)	0% (0/0)	0% (0/0)	24	slobber	inebriate	confound	baffle	discombobulate	intoxicate		defame	slander	smear	denigrate	spoil	sully	to speak badly about	large	affirm	glance	ricochet	bounce	reverberate	denigrate	quick tangent	United States	profane	demoralize	corrupt	debase	spoil	pervert	to make bad	simple	break away	break off	shed	chip off	chip	cast off	to shed	Female	man	go around	swirl	sentinel	twirl	dribble	whirl		watch	chip	spotter	chip off	break off	break away	to stop	cast off	shed	break off	chip	break away	chip off	way to say show	salivate	debase	dribble	slobber	slabber	drivel	spit running down	little	twirl	manipulate	swirl	fiddle with	whirl	go around	moving in circular motions		
3SBNLSTU6U59ZBTD8CC622YS9Y6DZK	3WZJZ0TDWUSYY15X0163M4RXWS80GF	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.10	Wed Dec 10 15:31:15 GMT 2014	10	BatchId:1762284;	3600	259200	Wed Dec 17 15:31:15 GMT 2014			3AMYWKA6YBM01IYKMJYD5IDF8PH6OO	ADUZK3SMR3W3U	Submitted	Thu Dec 11 05:51:58 GMT 2014	Thu Dec 11 06:07:32 GMT 2014	Sat Dec 13 22:07:32 PST 2014				934	0% (0/0)	0% (0/0)	0% (0/0)	54	discombobulate	inebriate	confound	confuse	intoxicate	bedevil		slander	sully	defame	smirch	smear	denigrate		large	queer	bound	bounce	recoil	reverberate	ricochet	To bounce off of	United States	subvert	profane	debase	demoralize	corrupt	pervert	To corrupt	simple	chip	shed	chip off	break off	break away	cast off	To remove the surface of in layers	Female	man	lookout	lookout man	watch	sentinel	sentry	spotter	A sentry or lookout	thwart	baffle	spoil	foil	frustrate	queer	To put an end to something (as in a plan)	support	corroborate	substantiate	establish	demonstrate	affirm	To demonstrate or show	drool	salivate	dribble	drivel	slobber	slabber	To drool or slobber	little	manipulate	go around	swirl	whirl	twirl	fiddle with	To play idly with something; fiddle		
3SBNLSTU6U59ZBTD8CC622YS9Y6DZK	3WZJZ0TDWUSYY15X0163M4RXWS80GF	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.10	Wed Dec 10 15:31:15 GMT 2014	10	BatchId:1762284;	3600	259200	Wed Dec 17 15:31:15 GMT 2014			3G0WWMR1UVKBTFHS0DCYWYU1IFFQNF	APYYV3B1MT2B6	Submitted	Wed Dec 10 15:33:11 GMT 2014	Wed Dec 10 15:47:00 GMT 2014	Sat Dec 13 07:47:00 PST 2014				829	0% (0/0)	0% (0/0)	0% (0/0)	28	whirl	inebriate	bounce	recoil	glance	ricochet		inebriate	confound	chip off	chip	sentinel	break away		large	glance	foil	chip	recoil	spotter	cast off	means round	India	ricochet	salivate	bounce	demoralize	substantiate	demonstrate	Means bundle	simple	discombobulate	spoil	manipulate	confound	inebriate	cast off	Exploitation	Female	man	lookout	lookout man	confound	confuse	discombobulate	bedevil	Lock out	substantiate	drool	drivel	glance	frustrate	queer	means breaking	frustrate	corroborate	cast off	queer	break off	spoil	means shy	manipulate	salivate	cast off	drivel	slobber	shed	Slaver means a man use as slave	little	drivel	corroborate	swirl	slobber	twirl	establish	twiddle means waste conversation		
3SBNLSTU6U59ZBTD8CC622YS9Y6DZK	3WZJZ0TDWUSYY15X0163M4RXWS80GF	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.10	Wed Dec 10 15:31:15 GMT 2014	10	BatchId:1762284;	3600	259200	Wed Dec 17 15:31:15 GMT 2014			3KYQYYSHYV7ZMRDZW66RBON7PAZODR	AKOQ7M3DHZHO9	Submitted	Wed Dec 10 17:25:28 GMT 2014	Wed Dec 10 17:34:31 GMT 2014	Sat Dec 13 09:34:31 PST 2014				543	0% (0/0)	0% (0/0)	0% (0/0)	31	discombobulate	inebriate	confound	confuse	manipulate	bedevil		slander	sully	defame	bedevil	smear	denigrate		large	shed	foil	thwart	recoil	reverberate	ricochet	to fly off in particular at an angle	United States	subvert	profane	debase	demoralize	corrupt	pervert	To ruin or dissprove a theory	simple	chip	shed	chip off	break off	break away	cast off	to grind or shave off	Female	man	establish	support	watch	sentinel	sentry	spotter	to be stationed in an area	thwart	recoil	spoil	demonstrate	establish	affirm	to disprove a theory	support	thwart	cast off	establish	demonstrate	affirm	I don't remember	reverberate	chip off	cast off	drivel	slobber	slabber	To drool	little	manipulate	go around	swirl	whirl	twirl	fiddle with	to spin and twist something or someone around		
3SBNLSTU6U59ZBTD8CC622YS9Y6DZK	3WZJZ0TDWUSYY15X0163M4RXWS80GF	Vocabulary matching and communicating	Help a student with a cognitive science experiment while learning new vocabulary!	survey, demographics, cognitive science, vocabulary, multiple choice	$0.10	Wed Dec 10 15:31:15 GMT 2014	10	BatchId:1762284;	3600	259200	Wed Dec 17 15:31:15 GMT 2014			3LEP4MGT3G0F3XOQS11554N8ICCDBA	A3EHI7J2E5DSJK	Submitted	Thu Dec 11 01:31:41 GMT 2014	Thu Dec 11 01:38:57 GMT 2014	Sat Dec 13 17:38:57 PST 2014				436	0% (0/0)	0% (0/0)	0% (0/0)	21	whirl	inebriate	confound	confuse	glance			cast off	shed	chip off	lookout	smear	discombobulate		large	glance	foil	chip	lookout		sentinel	insert a disc	United States	drivel	salivate	affirm	demoralize	glance	slabber	to remove	simple	chip	shed	chip off	break off	break away		to clean to rejuvenate	Male	man	lookout	lookout man	confound	substantiate	sentry	spotter	a thin fence	ricochet	baffle	reverberate	demonstrate	bound	affirm	to hold	discombobulate	break away	cast off	shed	break off		to send away	reverberate	salivate	cast off	drivel	break away	glance	to take away	little	manipulate	go around	substantiate	lookout	twirl	fiddle with	"to mess with your hands(fiddle your thumb)"		
